Metric		Current
NUMBER_OF_FILES_CONCERN_GENERAL_UNCLASSIFIED_EXT_TSX		54
LINES_OF_CODE_CONCERN_GENERAL_UNCLASSIFIED_EXT_TSX		4,235
NUMBER_OF_FILES_CONCERN_GENERAL_UNCLASSIFIED_EXT_CSS		1
LINES_OF_CODE_CONCERN_GENERAL_UNCLASSIFIED_EXT_CSS		105
NUMBER_OF_FILES_CONCERN_GENERAL_UNCLASSIFIED_EXT_MJS		3
LINES_OF_CODE_CONCERN_GENERAL_UNCLASSIFIED_EXT_MJS		37
NUMBER_OF_FILES_CONCERN_GENERAL_UNCLASSIFIED_EXT_PY		1
LINES_OF_CODE_CONCERN_GENERAL_UNCLASSIFIED_EXT_PY		36
NUMBER_OF_FILES_CONCERN_GENERAL_UNCLASSIFIED_EXT_JS		1
LINES_OF_CODE_CONCERN_GENERAL_UNCLASSIFIED_EXT_JS		4
NEGLIGIBLE_RISK_FILE_SIZE_COUNT		110
LOW_RISK_FILE_SIZE_COUNT		22
MEDIUM_RISK_FILE_SIZE_COUNT		8
HIGH_RISK_FILE_SIZE_COUNT		0
VERY_HIGH_RISK_FILE_SIZE_COUNT		0
NEGLIGIBLE_RISK_FILE_SIZE_LOC		3,744
LOW_RISK_FILE_SIZE_LOC		3,215
MEDIUM_RISK_FILE_SIZE_LOC		2,159
HIGH_RISK_FILE_SIZE_LOC		0
VERY_HIGH_RISK_FILE_SIZE_LOC		0
NUMBER_OF_UNITS		263
LINES_OF_CODE_IN_UNITS		4,334
LINES_OF_CODE_OUTSIDE_UNITS		4,784
UNIT_SIZE_NEGLIGIBLE_RISK_LOC		873
UNIT_SIZE_NEGLIGIBLE_RISK_PERCENTAGE		20.14
UNIT_SIZE_NEGLIGIBLE_RISK_COUNT		164
UNIT_SIZE_LOW_RISK_LOC		724
UNIT_SIZE_LOW_RISK_PERCENTAGE		16.71
UNIT_SIZE_LOW_RISK_COUNT		48
UNIT_SIZE_MEDIUM_RISK_LOC		1,031
UNIT_SIZE_MEDIUM_RISK_PERCENTAGE		23.79
UNIT_SIZE_MEDIUM_RISK_COUNT		36
UNIT_SIZE_HIGH_RISK_LOC		441
UNIT_SIZE_HIGH_RISK_PERCENTAGE		10.18
UNIT_SIZE_HIGH_RISK_COUNT		7
UNIT_SIZE_VERY_HIGH_RISK_LOC		1,265
UNIT_SIZE_VERY_HIGH_RISK_PERCENTAGE		29.19
UNIT_SIZE_VERY_HIGH_RISK_COUNT		8
UNIT_SIZE_COMPONENT_APP_NEGLIGIBLE_RISK_LOC		298
UNIT_SIZE_COMPONENT_APP_NEGLIGIBLE_RISK_PERCENTAGE		10.82
UNIT_SIZE_COMPONENT_APP_NEGLIGIBLE_RISK_COUNT		53
UNIT_SIZE_COMPONENT_APP_LOW_RISK_LOC		299
UNIT_SIZE_COMPONENT_APP_LOW_RISK_PERCENTAGE		10.85
UNIT_SIZE_COMPONENT_APP_LOW_RISK_COUNT		19
UNIT_SIZE_COMPONENT_APP_MEDIUM_RISK_LOC		592
UNIT_SIZE_COMPONENT_APP_MEDIUM_RISK_PERCENTAGE		21.49
UNIT_SIZE_COMPONENT_APP_MEDIUM_RISK_COUNT		20
UNIT_SIZE_COMPONENT_APP_HIGH_RISK_LOC		301
