Metric		Current
LINES_OF_CODE_DECOMPOSITION_PRIMARY_PRISMA		261
NUMBER_OF_FILES_DECOMPOSITION_PRIMARY_PRISMA_EXT_SQL		13
LINES_OF_CODE_DECOMPOSITION_PRIMARY_PRISMA_EXT_SQL		114
NUMBER_OF_FILES_DECOMPOSITION_PRIMARY_PRISMA_EXT_PRISMA		1
LINES_OF_CODE_DECOMPOSITION_PRIMARY_PRISMA_EXT_PRISMA		79
NUMBER_OF_FILES_DECOMPOSITION_PRIMARY_PRISMA_EXT_TS		1
LINES_OF_CODE_DECOMPOSITION_PRIMARY_PRISMA_EXT_TS		65
NUMBER_OF_FILES_DECOMPOSITION_PRIMARY_PRISMA_EXT_TOML		1
LINES_OF_CODE_DECOMPOSITION_PRIMARY_PRISMA_EXT_TOML		3
NUMBER_OF_FILES_DECOMPOSITION_PRIMARY_TYPES		9
LINES_OF_CODE_DECOMPOSITION_PRIMARY_TYPES		395
NUMBER_OF_FILES_DECOMPOSITION_PRIMARY_TYPES_EXT_TS		9
LINES_OF_CODE_DECOMPOSITION_PRIMARY_TYPES_EXT_TS		395
NUMBER_OF_DEPENDENCY_LINKS_DECOMPOSITION_PRIMARY		0
NUMBER_OF_DEPENDENCIES_DECOMPOSITION_PRIMARY		0
NUMBER_OF_PLACES_WITH_CYCLIC_DEPENDENCIES_DECOMPOSITION_PRIMARY		0
NUMBER_OF_FILES_CONCERN_GENERAL_TODOS		1
LINES_OF_CODE_CONCERN_GENERAL_TODOS		174
NUMBER_OF_FILES_CONCERN_GENERAL_TODOS_EXT_TS		1
LINES_OF_CODE_CONCERN_GENERAL_TODOS_EXT_TS		174
NUMBER_OF_FILES_CONCERN_GENERAL_UNCLASSIFIED		240
LINES_OF_CODE_CONCERN_GENERAL_UNCLASSIFIED		26,061
NUMBER_OF_FILES_CONCERN_GENERAL_UNCLASSIFIED_EXT_HTML		62
LINES_OF_CODE_CONCERN_GENERAL_UNCLASSIFIED_EXT_HTML		10,418
NUMBER_OF_FILES_CONCERN_GENERAL_UNCLASSIFIED_EXT_TSX		86
LINES_OF_CODE_CONCERN_GENERAL_UNCLASSIFIED_EXT_TSX		9,166
NUMBER_OF_FILES_CONCERN_GENERAL_UNCLASSIFIED_EXT_TS		63
LINES_OF_CODE_CONCERN_GENERAL_UNCLASSIFIED_EXT_TS		4,385
NUMBER_OF_FILES_CONCERN_GENERAL_UNCLASSIFIED_EXT_XML		1
LINES_OF_CODE_CONCERN_GENERAL_UNCLASSIFIED_EXT_XML		868
NUMBER_OF_FILES_CONCERN_GENERAL_UNCLASSIFIED_EXT_CSS		5
LINES_OF_CODE_CONCERN_GENERAL_UNCLASSIFIED_EXT_CSS		513
NUMBER_OF_FILES_CONCERN_GENERAL_UNCLASSIFIED_EXT_JS		5
LINES_OF_CODE_CONCERN_GENERAL_UNCLASSIFIED_EXT_JS		478
NUMBER_OF_FILES_CONCERN_GENERAL_UNCLASSIFIED_EXT_SQL		13
LINES_OF_CODE_CONCERN_GENERAL_UNCLASSIFIED_EXT_SQL		114
NUMBER_OF_FILES_CONCERN_GENERAL_UNCLASSIFIED_EXT_PRISMA		1
LINES_OF_CODE_CONCERN_GENERAL_UNCLASSIFIED_EXT_PRISMA		79
NUMBER_OF_FILES_CONCERN_GENERAL_UNCLASSIFIED_EXT_MJS		3
LINES_OF_CODE_CONCERN_GENERAL_UNCLASSIFIED_EXT_MJS		37
NUMBER_OF_FILES_CONCERN_GENERAL_UNCLASSIFIED_EXT_TOML		1
LINES_OF_CODE_CONCERN_GENERAL_UNCLASSIFIED_EXT_TOML		3
NEGLIGIBLE_RISK_FILE_SIZE_COUNT		125
LOW_RISK_FILE_SIZE_COUNT		75
MEDIUM_RISK_FILE_SIZE_COUNT		39
HIGH_RISK_FILE_SIZE_COUNT		2
VERY_HIGH_RISK_FILE_SIZE_COUNT		0
NEGLIGIBLE_RISK_FILE_SIZE_LOC		4,531
LOW_RISK_FILE_SIZE_LOC		9,409
MEDIUM_RISK_FILE_SIZE_LOC		10,792
HIGH_RISK_FILE_SIZE_LOC		1,503
VERY_HIGH_RISK_FILE_SIZE_LOC		0
NUMBER_OF_UNITS		501
LINES_OF_CODE_IN_UNITS		8,592
LINES_OF_CODE_OUTSIDE_UNITS		17,643
UNIT_SIZE_NEGLIGIBLE_RISK_LOC		1,343
UNIT_SIZE_NEGLIGIBLE_RISK_PERCENTAGE		15.63
UNIT_SIZE_NEGLIGIBLE_RISK_COUNT		234
UNIT_SIZE_LOW_RISK_LOC		2,289
UNIT_SIZE_LOW_RISK_PERCENTAGE		26.64
UNIT_SIZE_LOW_RISK_COUNT		158
UNIT_SIZE_MEDIUM_RISK_LOC		2,331
UNIT_SIZE_MEDIUM_RISK_PERCENTAGE		27.13
UNIT_SIZE_MEDIUM_RISK_COUNT		84
UNIT_SIZE_HIGH_RISK_LOC		1,125
UNIT_SIZE_HIGH_RISK_PERCENTAGE		13.09
UNIT_SIZE_HIGH_RISK_COUNT		17
UNIT_SIZE_VERY_HIGH_RISK_LOC		1,504
UNIT_SIZE_VERY_HIGH_RISK_PERCENTAGE		17.5
UNIT_SIZE_VERY_HIGH_RISK_COUNT		8
UNIT_SIZE_COMPONENT_APP_NEGLIGIBLE_RISK_LOC		221
UNIT_SIZE_COMPONENT_APP_NEGLIGIBLE_RISK_PERCENTAGE		7.32
UNIT_SIZE_COMPONENT_APP_NEGLIGIBLE_RISK_COUNT		39
UNIT_SIZE_COMPONENT_APP_LOW_RISK_LOC		318
UNIT_SIZE_COMPONENT_APP_LOW_RISK_PERCENTAGE		10.54
UNIT_SIZE_COMPONENT_APP_LOW_RISK_COUNT		20
UNIT_SIZE_COMPONENT_APP_MEDIUM_RISK_LOC		520
UNIT_SIZE_COMPONENT_APP_MEDIUM_RISK_PERCENTAGE		17.23
UNIT_SIZE_COMPONENT_APP_MEDIUM_RISK_COUNT		17
UNIT_SIZE_COMPONENT_APP_HIGH_RISK_LOC		455
UNIT_SIZE_COMPONENT_APP_HIGH_RISK_PERCENTAGE		15.08
UNIT_SIZE_COMPONENT_APP_HIGH_RISK_COUNT		7
UNIT_SIZE_COMPONENT_APP_VERY_HIGH_RISK_LOC		1,504
UNIT_SIZE_COMPONENT_APP_VERY_HIGH_RISK_PERCENTAGE		49.83
UNIT_SIZE_COMPONENT_APP_VERY_HIGH_RISK_COUNT		8
UNIT_SIZE_COMPONENT_COMPONENTS_NEGLIGIBLE_RISK_LOC		562
UNIT_SIZE_COMPONENT_COMPONENTS_NEGLIGIBLE_RISK_PERCENTAGE		13.47
UNIT_SIZE_COMPONENT_COMPONENTS_NEGLIGIBLE_RISK_COUNT		85
UNIT_SIZE_COMPONENT_COMPONENTS_LOW_RISK_LOC		1,650
UNIT_SIZE_COMPONENT_COMPONENTS_LOW_RISK_PERCENTAGE		39.56
UNIT_SIZE_COMPONENT_COMPONENTS_LOW_RISK_COUNT		118
UNIT_SIZE_COMPONENT_COMPONENTS_MEDIUM_RISK_LOC		1,413
UNIT_SIZE_COMPONENT_COMPONENTS_MEDIUM_RISK_PERCENTAGE		33.88
UNIT_SIZE_COMPONENT_COMPONENTS_MEDIUM_RISK_COUNT		52
UNIT_SIZE_COMPONENT_COMPONENTS_HIGH_RISK_LOC		546
UNIT_SIZE_COMPONENT_COMPONENTS_HIGH_RISK_PERCENTAGE		13.09
UNIT_SIZE_COMPONENT_COMPONENTS_HIGH_RISK_COUNT		8
UNIT_SIZE_COMPONENT_COMPONENTS_VERY_HIGH_RISK_LOC		0
UNIT_SIZE_COMPONENT_COMPONENTS_VERY_HIGH_RISK_PERCENTAGE		0
UNIT_SIZE_COMPONENT_COMPONENTS_VERY_HIGH_RISK_COUNT		0
UNIT_SIZE_COMPONENT_COVERAGE_NEGLIGIBLE_RISK_LOC		156
UNIT_SIZE_COMPONENT_COVERAGE_NEGLIGIBLE_RISK_PERCENTAGE		41.94
UNIT_SIZE_COMPONENT_COVERAGE_NEGLIGIBLE_RISK_COUNT		28
UNIT_SIZE_COMPONENT_COVERAGE_LOW_RISK_LOC		72
UNIT_SIZE_COMPONENT_COVERAGE_LOW_RISK_PERCENTAGE		19.35
UNIT_SIZE_COMPONENT_COVERAGE_LOW_RISK_COUNT		4
UNIT_SIZE_COMPONENT_COVERAGE_MEDIUM_RISK_LOC		144
UNIT_SIZE_COMPONENT_COVERAGE_MEDIUM_RISK_PERCENTAGE		38.71
UNIT_SIZE_COMPONENT_COVERAGE_MEDIUM_RISK_COUNT		6
UNIT_SIZE_COMPONENT_COVERAGE_HIGH_RISK_LOC		0
UNIT_SIZE_COMPONENT_COVERAGE_HIGH_RISK_PERCENTAGE		0
UNIT_SIZE_COMPONENT_COVERAGE_HIGH_RISK_COUNT		0
UNIT_SIZE_COMPONENT_COVERAGE_VERY_HIGH_RISK_LOC		0
UNIT_SIZE_COMPONENT_COVERAGE_VERY_HIGH_RISK_PERCENTAGE		0
UNIT_SIZE_COMPONENT_COVERAGE_VERY_HIGH_RISK_COUNT		0
UNIT_SIZE_COMPONENT_ROOT_NEGLIGIBLE_RISK_LOC		17
UNIT_SIZE_COMPONENT_ROOT_NEGLIGIBLE_RISK_PERCENTAGE		100
UNIT_SIZE_COMPONENT_ROOT_NEGLIGIBLE_RISK_COUNT		4
UNIT_SIZE_COMPONENT_ROOT_LOW_RISK_LOC		0
UNIT_SIZE_COMPONENT_ROOT_LOW_RISK_PERCENTAGE		0
UNIT_SIZE_COMPONENT_ROOT_LOW_RISK_COUNT		0
UNIT_SIZE_COMPONENT_ROOT_MEDIUM_RISK_LOC		0
UNIT_SIZE_COMPONENT_ROOT_MEDIUM_RISK_PERCENTAGE		0
UNIT_SIZE_COMPONENT_ROOT_MEDIUM_RISK_COUNT		0
UNIT_SIZE_COMPONENT_ROOT_HIGH_RISK_LOC		0
UNIT_SIZE_COMPONENT_ROOT_HIGH_RISK_PERCENTAGE		0
UNIT_SIZE_COMPONENT_ROOT_HIGH_RISK_COUNT		0
UNIT_SIZE_COMPONENT_ROOT_VERY_HIGH_RISK_LOC		0
UNIT_SIZE_COMPONENT_ROOT_VERY_HIGH_RISK_PERCENTAGE		0
UNIT_SIZE_COMPONENT_ROOT_VERY_HIGH_RISK_COUNT		0
UNIT_SIZE_COMPONENT_FEATURES_NEGLIGIBLE_RISK_LOC		371
UNIT_SIZE_COMPONENT_FEATURES_NEGLIGIBLE_RISK_PERCENTAGE		39.26
UNIT_SIZE_COMPONENT_FEATURES_NEGLIGIBLE_RISK_COUNT		75
UNIT_SIZE_COMPONENT_FEATURES_LOW_RISK_LOC		234
UNIT_SIZE_COMPONENT_FEATURES_LOW_RISK_PERCENTAGE		24.76
UNIT_SIZE_COMPONENT_FEATURES_LOW_RISK_COUNT		15
UNIT_SIZE_COMPONENT_FEATURES_MEDIUM_RISK_LOC		216
UNIT_SIZE_COMPONENT_FEATURES_MEDIUM_RISK_PERCENTAGE		22.86
UNIT_SIZE_COMPONENT_FEATURES_MEDIUM_RISK_COUNT		8
UNIT_SIZE_COMPONENT_FEATURES_HIGH_RISK_LOC		124
UNIT_SIZE_COMPONENT_FEATURES_HIGH_RISK_PERCENTAGE		13.12
UNIT_SIZE_COMPONENT_FEATURES_HIGH_RISK_COUNT		2
UNIT_SIZE_COMPONENT_FEATURES_VERY_HIGH_RISK_LOC		0
UNIT_SIZE_COMPONENT_FEATURES_VERY_HIGH_RISK_PERCENTAGE		0
UNIT_SIZE_COMPONENT_FEATURES_VERY_HIGH_RISK_COUNT		0
UNIT_SIZE_COMPONENT_HOOKS_NEGLIGIBLE_RISK_LOC		0
UNIT_SIZE_COMPONENT_HOOKS_NEGLIGIBLE_RISK_PERCENTAGE		0
UNIT_SIZE_COMPONENT_HOOKS_NEGLIGIBLE_RISK_COUNT		0
UNIT_SIZE_COMPONENT_HOOKS_LOW_RISK_LOC		15
UNIT_SIZE_COMPONENT_HOOKS_LOW_RISK_PERCENTAGE		100
UNIT_SIZE_COMPONENT_HOOKS_LOW_RISK_COUNT		1
UNIT_SIZE_COMPONENT_HOOKS_MEDIUM_RISK_LOC		0
UNIT_SIZE_COMPONENT_HOOKS_MEDIUM_RISK_PERCENTAGE		0
UNIT_SIZE_COMPONENT_HOOKS_MEDIUM_RISK_COUNT		0
UNIT_SIZE_COMPONENT_HOOKS_HIGH_RISK_LOC		0
UNIT_SIZE_COMPONENT_HOOKS_HIGH_RISK_PERCENTAGE		0
UNIT_SIZE_COMPONENT_HOOKS_HIGH_RISK_COUNT		0
UNIT_SIZE_COMPONENT_HOOKS_VERY_HIGH_RISK_LOC		0
UNIT_SIZE_COMPONENT_HOOKS_VERY_HIGH_RISK_PERCENTAGE		0
UNIT_SIZE_COMPONENT_HOOKS_VERY_HIGH_RISK_COUNT		0
UNIT_SIZE_COMPONENT_LIB_NEGLIGIBLE_RISK_LOC		3
UNIT_SIZE_COMPONENT_LIB_NEGLIGIBLE_RISK_PERCENTAGE		100
UNIT_SIZE_COMPONENT_LIB_NEGLIGIBLE_RISK_COUNT		1
UNIT_SIZE_COMPONENT_LIB_LOW_RISK_LOC		0
UNIT_SIZE_COMPONENT_LIB_LOW_RISK_PERCENTAGE		0
UNIT_SIZE_COMPONENT_LIB_LOW_RISK_COUNT		0
UNIT_SIZE_COMPONENT_LIB_MEDIUM_RISK_LOC		0
UNIT_SIZE_COMPONENT_LIB_MEDIUM_RISK_PERCENTAGE		0
UNIT_SIZE_COMPONENT_LIB_MEDIUM_RISK_COUNT		0
UNIT_SIZE_COMPONENT_LIB_HIGH_RISK_LOC		0
UNIT_SIZE_COMPONENT_LIB_HIGH_RISK_PERCENTAGE		0
UNIT_SIZE_COMPONENT_LIB_HIGH_RISK_COUNT		0
UNIT_SIZE_COMPONENT_LIB_VERY_HIGH_RISK_LOC		0
UNIT_SIZE_COMPONENT_LIB_VERY_HIGH_RISK_PERCENTAGE		0
UNIT_SIZE_COMPONENT_LIB_VERY_HIGH_RISK_COUNT		0
UNIT_SIZE_COMPONENT_PRISMA_NEGLIGIBLE_RISK_LOC		13
UNIT_SIZE_COMPONENT_PRISMA_NEGLIGIBLE_RISK_PERCENTAGE		25.49
UNIT_SIZE_COMPONENT_PRISMA_NEGLIGIBLE_RISK_COUNT		2
UNIT_SIZE_COMPONENT_PRISMA_LOW_RISK_LOC		0
UNIT_SIZE_COMPONENT_PRISMA_LOW_RISK_PERCENTAGE		0
